Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Uncore VID [V]","SA VID [V]","Core 0 Clock (perf #1) [MHz]","Core 1 Clock (perf #1) [MHz]","Core 2 Clock (perf #1) [MHz]","Core 3 Clock (perf #1) [MHz]","Bus Clock [MHz]","Ring/LLC Clock [MHz]","PCIe Clock [MHz]","Core 0 T0 Effective Clock [MHz]","Core 0 T1 Effective Clock [MHz]","Core 1 T0 Effective Clock [MHz]","Core 1 T1 Effective Clock [MHz]","Core 2 T0 Effective Clock [MHz]","Core 2 T1 Effective Clock [MHz]","Core 3 T0 Effective Clock [MHz]","Core 3 T1 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 T0 Usage [%]","Core 0 T1 Usage [%]","Core 1 T0 Usage [%]","Core 1 T1 Usage [%]","Core 2 T0 Usage [%]","Core 2 T1 Usage [%]","Core 3 T0 Usage [%]","Core 3 T1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Uncore Ratio [x]","Core 0 [°C]","Core 1 [°C]","Core 2 [°C]","Core 3 [°C]","Core 0 Distance to TjMAX [°C]","Core 1 Distance to TjMAX [°C]","Core 2 Distance to TjMAX [°C]","Core 3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core 0 Thermal Throttling [Yes/No]","Core 1 Thermal Throttling [Yes/No]","Core 2 Thermal Throttling [Yes/No]","Core 3 Thermal Throttling [Yes/No]","Core 0 Critical Temperature [Yes/No]","Core 1 Critical Temperature [Yes/No]","Core 2 Critical Temperature [Yes/No]","Core 3 Critical Temperature [Yes/No]","Core 0 Power Limit Exceeded [Yes/No]","Core 1 Power Limit Exceeded [Yes/No]","Core 2 Power Limit Exceeded [Yes/No]","Core 3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","iGPU VID [V]","IA Voltage Offset [V]","GT (Slice) Voltage Offset [V]","CLR (CBo/LLC/Ring) Voltage Offset [V]","Uncore/SA Voltage Offset [V]","CPU Package Power [W]","IA Cores Power [W]","GT Cores Power [W]","System Agent Power [W]","Rest-of-Chip Power [W]","PL1 Power Limit [W]","PL2 Power Limit [W]","PCH Power [W]","GPU Clock [MHz]","GPU D3D Usage [%]","GPU GT Usage [%]","GPU Media Engine Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Decode 1 Usage [%]","GPU Video Processing 0 Usage [%]","GPU D3D Memory Dynamic [MB]","Current cTDP Level []","Package C2 Residency [%]","Package C3 Residency [%]","Package C6 Residency [%]","Package C7 Residency [%]","Package C8 Residency [%]","Core 0 T0 C0 Residency [%]","Core 0 T1 C0 Residency [%]","Core 1 T0 C0 Residency [%]","Core 1 T1 C0 Residency [%]","Core 2 T0 C0 Residency [%]","Core 2 T1 C0 Residency [%]","Core 3 T0 C0 Residency [%]","Core 3 T1 C0 Residency [%]","Core 0 C7 Residency [%]","Core 1 C7 Residency [%]","Core 2 C7 Residency [%]","Core 3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: Running Average Thermal Limit [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: VR TDC [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: Running Average Thermal Limit [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: Fuses limit [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Battery Voltage [V]","Remaining Capacity [Wh]","Charge Level [%]","Wear Level [%]","Framerate [FPS]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
10.2.2021,15:7:10.775,8668,13548,39.0,6255,5721,52.2,3.2,1.082,1.072,0.925,0.920,0.971,0.688,3292.7,3292.7,2294.9,2294.9,99.8,3093.2,99.8,515.3,329.9,655.3,702.8,539.4,546.4,695.9,592.9,572.2,17.5,9.9,20.6,20.6,17.5,17.5,22.1,18.3,22.1,18.0,100.0,33.0,33.0,23.0,23.0,31.0,65,74,62,60,35,26,38,40,75,74,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,74,74,57,0.000,0.000,0.000,0.000,0.000,11.040,9.015,0.069,0.372,0.930,19.000,40.000,0.653,0.0,2.9,4.4,0.0,0.0,0.0,0.0,226,0,0.0,0.0,0.0,0.0,0.0,17.6,11.1,20.6,22.6,17.6,18.2,22.3,19.5,65.3,39.7,46.6,35.4,1064.3,10.67,15,15,15,35,374,1,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1836,1542,39,99.0,No,No,2335,1520,0.0,0.5,0.5,0.008,0.162,57353,60553,11.773,13.271,34.5,0.0,60,9249,377,0.022,0.000,0,
10.2.2021,15:7:12.814,8664,13552,39.0,6252,5724,52.2,3.2,0.955,1.095,0.987,0.950,0.993,0.688,2494.5,3392.5,2694.1,2494.5,99.8,3193.0,99.8,373.7,307.3,690.5,553.3,596.5,601.2,568.4,452.2,517.9,12.3,10.0,23.8,17.6,21.5,18.4,19.2,13.8,23.8,17.1,100.0,25.0,34.0,27.0,25.0,32.0,64,72,63,59,36,28,37,41,72,72,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,71,71,59,0.000,0.000,0.000,0.000,0.000,10.837,8.829,0.055,0.336,0.935,19.000,40.000,0.679,0.0,4.7,4.0,0.0,0.0,0.0,0.0,225,0,0.0,0.0,0.0,0.0,0.0,12.9,10.4,22.0,17.3,18.9,18.9,18.8,14.5,66.7,31.0,44.0,61.6,1064.3,10.67,15,15,15,35,374,1,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1836,1542,40,99.0,No,No,2335,1520,0.0,0.6,0.6,0.000,0.285,57353,60554,11.868,13.271,34.5,0.0,60,9249,377,0.032,0.109,0,
10.2.2021,15:7:14.865,8673,13543,39.0,6257,5719,52.2,3.2,0.957,1.092,0.942,1.072,0.971,0.691,2494.5,3392.5,2394.7,3292.7,99.8,3093.2,99.8,494.9,370.8,810.9,429.5,741.3,511.7,661.3,518.7,567.4,16.7,9.9,23.6,14.5,20.6,16.7,22.1,19.8,23.6,18.0,100.0,25.0,34.0,24.0,33.0,31.0,64,68,60,74,36,32,40,26,77,74,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,71,71,59,0.000,0.000,0.000,0.000,0.000,11.404,9.110,0.117,0.438,1.006,19.000,40.000,0.729,0.0,3.0,8.4,0.0,0.0,0.0,0.0,230,0,0.0,0.0,0.0,0.0,0.0,17.8,12.6,26.2,14.3,23.9,16.4,22.0,18.0,58.8,40.9,28.7,48.1,1064.3,10.67,15,15,15,35,374,1,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1836,1542,40,99.0,No,No,2335,1520,0.0,1.3,1.3,0.000,0.189,57353,60554,11.865,13.283,34.6,0.0,60,9249,377,0.266,0.264,0,
10.2.2021,15:7:18.127,8669,13547,39.0,6259,5717,52.2,3.2,0.960,1.135,1.145,0.720,1.041,0.688,2494.5,3592.1,3592.1,1297.1,99.8,3392.5,99.8,315.5,282.2,1518.5,356.9,644.8,501.0,377.3,225.6,527.7,9.1,10.6,42.7,13.7,19.0,16.7,12.2,9.1,42.7,16.6,100.0,25.0,36.0,36.0,13.0,34.0,58,69,63,60,42,31,37,40,68,69,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,68,68,59,0.000,0.000,0.000,0.000,0.000,9.827,7.889,0.048,0.380,0.905,19.000,40.000,0.604,0.0,0.5,4.1,0.0,0.0,0.0,0.0,225,0,0.0,0.0,0.0,0.0,0.0,11.6,9.7,44.9,11.6,20.6,15.8,12.7,8.4,70.2,22.0,47.8,70.1,1064.3,10.67,15,15,15,35,374,1,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1836,1542,38,99.0,No,No,2335,1520,0.0,0.6,0.6,0.000,0.368,57353,60555,11.830,13.294,34.6,0.0,60,9249,377,0.044,0.025,0,
10.2.2021,15:7:19.809,8643,13573,38.9,6232,5744,52.0,3.2,0.855,1.135,0.942,0.935,0.926,0.688,1895.8,3592.1,2394.7,2394.7,99.8,2793.8,99.8,363.2,312.9,1048.1,803.0,972.9,326.8,276.1,214.8,539.7,11.2,12.9,30.1,21.5,33.3,11.2,11.8,6.4,33.3,17.3,100.0,19.0,36.0,24.0,24.0,28.0,63,70,59,59,37,30,41,41,70,70,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,71,71,57,0.815,0.000,0.000,0.000,0.000,10.250,7.453,0.435,0.656,1.015,19.000,40.000,0.669,498.9,20.5,15.1,0.0,0.0,0.0,0.0,186,0,0.0,0.0,0.0,0.0,0.0,14.0,11.5,31.5,24.6,30.5,11.7,11.0,8.3,66.2,23.3,45.6,73.1,1064.3,10.67,15,15,15,35,374,1,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1836,1542,39,99.0,No,No,2335,1520,0.0,0.5,0.5,0.000,0.125,57353,60555,11.907,13.306,34.6,0.0,60,9249,377,4.456,3.776,0,
10.2.2021,15:7:21.873,8636,13580,38.8,6224,5752,51.9,3.2,0.707,0.700,0.707,0.702,0.651,0.693,1097.6,1097.6,1097.6,1097.6,99.8,898.0,99.8,141.6,66.9,483.5,162.0,103.2,120.1,66.5,78.0,152.7,3.8,3.0,17.5,5.3,4.5,3.8,3.0,3.0,17.5,5.5,100.0,11.0,11.0,11.0,11.0,9.0,54,55,54,53,46,45,46,47,57,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,54,0.000,0.000,0.000,0.000,0.000,4.170,2.263,0.227,0.332,0.718,19.000,40.000,0.628,0.0,0.0,6.0,0.0,0.0,0.0,0.0,184,0,30.0,17.4,0.1,0.6,13.7,7.0,3.5,16.7,6.4,5.4,5.1,3.9,4.0,87.3,68.4,82.8,91.5,1064.3,10.67,15,15,15,35,374,1,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1836,1542,39,99.0,No,No,2335,1520,0.3,0.5,0.7,0.007,0.028,57353,60555,12.055,13.317,34.6,0.0,60,9249,377,0.233,0.162,0,
10.2.2021,15:7:23.908,8630,13586,38.8,6219,5757,51.9,3.2,0.750,1.072,0.927,0.920,0.881,0.691,1396.9,3292.7,2294.9,2294.9,99.8,2494.5,99.8,328.0,336.8,1639.0,479.1,133.1,137.7,132.4,107.2,411.7,14.5,9.9,48.8,11.4,4.5,5.3,4.5,3.0,48.8,12.7,100.0,14.0,33.0,23.0,23.0,25.0,63,75,58,60,37,25,42,40,75,75,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,74,74,56,0.000,0.000,0.000,0.000,0.000,9.513,6.323,0.671,0.645,1.078,19.000,40.000,0.762,0.0,19.9,21.1,0.0,0.0,0.0,0.0,184,0,6.6,2.5,0.0,0.0,0.5,14.0,11.6,48.3,14.3,6.0,6.4,6.6,5.0,68.4,16.1,84.0,85.9,1064.3,10.67,15,15,15,35,374,1,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1836,1542,41,99.0,No,No,2335,1520,0.7,0.6,1.3,0.305,0.161,57354,60556,11.795,13.329,34.7,0.0,60,9249,377,2.166,0.026,0,
10.2.2021,15:7:25.956,8621,13595,38.8,6221,5755,51.9,3.2,1.082,1.042,0.957,0.662,0.971,0.728,3291.9,3092.4,2493.9,798.0,99.8,3092.4,99.8,526.0,585.7,1205.0,604.8,263.7,179.0,386.3,133.4,485.5,14.5,22.1,36.6,16.7,11.4,5.3,12.2,4.5,36.6,15.4,100.0,33.0,31.0,25.0,8.0,31.0,65,63,59,59,35,37,41,41,65,65,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,66,66,56,0.000,0.000,0.000,0.000,0.000,10.358,7.841,0.372,0.612,0.976,19.000,40.000,0.541,0.0,14.2,17.6,0.0,0.0,0.0,0.0,186,0,0.1,0.0,0.0,0.1,0.0,18.7,18.8,36.7,18.2,10.1,7.1,13.8,6.3,50.8,15.7,79.2,71.9,1330.1,13.33,19,19,19,43,467,1,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1836,1542,39,99.0,No,No,2335,1520,0.0,0.2,0.2,0.000,0.001,57354,60556,11.828,13.329,34.7,0.0,60,9249,377,0.028,0.040,0,
10.2.2021,15:7:28.013,8620,13596,38.8,6221,5755,51.9,3.2,0.972,1.072,0.907,0.787,0.791,0.691,2594.3,3292.7,2195.2,1596.5,99.8,1895.8,99.8,444.9,466.5,1447.5,566.8,390.6,200.2,212.2,163.6,486.6,12.1,12.8,46.2,13.6,13.6,6.0,5.3,6.8,46.2,14.5,100.0,26.0,33.0,22.0,16.0,19.0,67,68,63,60,33,32,37,40,68,68,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,69,69,58,0.000,0.000,0.000,0.000,0.000,10.591,8.159,0.272,0.544,0.979,19.000,40.000,0.629,0.0,14.3,16.0,0.0,0.0,0.0,0.0,185,0,0.0,0.0,0.0,0.0,0.0,16.3,15.6,42.9,17.0,13.8,7.5,8.4,6.5,56.3,6.9,75.4,82.3,1064.3,10.67,15,15,15,35,374,1,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1836,1542,40,99.0,No,No,2335,1520,0.0,1.4,1.4,0.000,0.392,57354,60556,11.894,13.340,34.7,0.0,60,9249,377,0.317,0.645,0,
10.2.2021,15:7:30.063,8621,13595,38.8,6221,5755,51.9,3.2,1.082,1.072,0.857,0.720,0.993,0.691,3292.7,3292.7,1895.8,1297.1,99.8,3193.0,99.8,531.6,509.2,1373.9,592.9,289.8,260.4,173.6,173.4,488.1,16.0,14.5,43.5,19.0,11.4,10.6,6.8,6.1,43.5,16.0,100.0,33.0,33.0,19.0,13.0,32.0,65,73,60,59,35,27,40,41,73,73,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,71,71,57,0.000,0.000,0.000,0.000,0.000,10.763,8.203,0.263,0.572,1.023,19.000,40.000,0.695,0.0,14.7,17.2,0.0,0.0,0.0,0.0,185,0,0.0,0.0,0.0,0.0,0.0,18.9,16.6,41.0,18.0,10.6,9.2,7.2,7.1,51.1,6.3,73.8,82.2,1064.3,10.67,15,15,15,35,374,1,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,39,100.0,No,No,1836,1542,41,99.0,No,No,2335,1520,0.0,0.9,0.9,0.000,0.087,57354,60557,11.920,13.340,34.7,0.0,60,9249,377,0.060,0.071,0,
