Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Uncore VID [V]","SA VID [V]","Core 0 Clock (perf #1) [MHz]","Core 1 Clock (perf #1) [MHz]","Core 2 Clock (perf #1) [MHz]","Core 3 Clock (perf #1) [MHz]","Bus Clock [MHz]","Ring/LLC Clock [MHz]","PCIe Clock [MHz]","Core 0 T0 Effective Clock [MHz]","Core 0 T1 Effective Clock [MHz]","Core 1 T0 Effective Clock [MHz]","Core 1 T1 Effective Clock [MHz]","Core 2 T0 Effective Clock [MHz]","Core 2 T1 Effective Clock [MHz]","Core 3 T0 Effective Clock [MHz]","Core 3 T1 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 T0 Usage [%]","Core 0 T1 Usage [%]","Core 1 T0 Usage [%]","Core 1 T1 Usage [%]","Core 2 T0 Usage [%]","Core 2 T1 Usage [%]","Core 3 T0 Usage [%]","Core 3 T1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Uncore Ratio [x]","Core 0 [°C]","Core 1 [°C]","Core 2 [°C]","Core 3 [°C]","Core 0 Distance to TjMAX [°C]","Core 1 Distance to TjMAX [°C]","Core 2 Distance to TjMAX [°C]","Core 3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core 0 Thermal Throttling [Yes/No]","Core 1 Thermal Throttling [Yes/No]","Core 2 Thermal Throttling [Yes/No]","Core 3 Thermal Throttling [Yes/No]","Core 0 Critical Temperature [Yes/No]","Core 1 Critical Temperature [Yes/No]","Core 2 Critical Temperature [Yes/No]","Core 3 Critical Temperature [Yes/No]","Core 0 Power Limit Exceeded [Yes/No]","Core 1 Power Limit Exceeded [Yes/No]","Core 2 Power Limit Exceeded [Yes/No]","Core 3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","iGPU VID [V]","IA Voltage Offset [V]","GT (Slice) Voltage Offset [V]","CLR (CBo/LLC/Ring) Voltage Offset [V]","Uncore/SA Voltage Offset [V]","CPU Package Power [W]","IA Cores Power [W]","GT Cores Power [W]","System Agent Power [W]","Rest-of-Chip Power [W]","PL1 Power Limit [W]","PL2 Power Limit [W]","PCH Power [W]","GPU Clock [MHz]","GPU D3D Usage [%]","GPU GT Usage [%]","GPU Media Engine Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Decode 1 Usage [%]","GPU Video Processing 0 Usage [%]","GPU D3D Memory Dynamic [MB]","Current cTDP Level []","Package C2 Residency [%]","Package C3 Residency [%]","Package C6 Residency [%]","Package C7 Residency [%]","Package C8 Residency [%]","Core 0 T0 C0 Residency [%]","Core 0 T1 C0 Residency [%]","Core 1 T0 C0 Residency [%]","Core 1 T1 C0 Residency [%]","Core 2 T0 C0 Residency [%]","Core 2 T1 C0 Residency [%]","Core 3 T0 C0 Residency [%]","Core 3 T1 C0 Residency [%]","Core 0 C7 Residency [%]","Core 1 C7 Residency [%]","Core 2 C7 Residency [%]","Core 3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: Running Average Thermal Limit [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: VR TDC [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: Running Average Thermal Limit [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: Fuses limit [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Battery Voltage [V]","Remaining Capacity [Wh]","Charge Level [%]","Wear Level [%]","Framerate [FPS]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
10.2.2021,14:16:31.663,12363,9853,55.6,8375,3601,69.9,7.4,0.717,0.710,0.720,0.715,0.673,0.913,1097.3,1097.3,1097.3,1097.3,99.8,997.6,99.8,559.7,504.8,360.6,299.5,359.8,277.4,233.7,238.1,354.2,35.6,29.5,25.7,18.9,25.7,20.4,17.4,16.6,35.6,23.7,100.0,11.0,11.0,11.0,11.0,10.0,47,46,44,41,53,54,56,59,47,47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,46,46,45,0.838,0.000,0.000,0.000,0.000,5.857,2.546,1.020,0.469,1.213,19.000,40.000,0.583,498.8,42.7,66.4,0.0,0.0,0.0,0.0,465,0,5.3,0.4,0.0,0.5,1.8,46.2,41.4,29.6,24.3,28.7,22.9,20.2,20.5,35.5,57.0,58.4,67.0,1330.1,13.33,19,19,19,43,467,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1830,1537,31,99.0,No,No,2322,1519,2.1,0.6,2.7,0.170,0.418,53565,46262,10.383,14.264,37.1,0.0,60,6618,289,3.536,1.519,0,
10.2.2021,14:16:33.743,12362,9854,55.6,8367,3609,69.8,7.4,0.717,0.712,0.720,0.715,0.661,0.703,1097.6,1097.6,1097.6,1097.6,99.8,898.0,99.8,593.1,503.8,333.8,288.1,269.0,252.2,222.1,253.0,339.4,44.6,39.3,23.4,21.2,18.1,18.9,13.6,19.6,44.6,24.8,100.0,11.0,11.0,11.0,11.0,9.0,47,45,44,42,53,55,56,58,47,47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,46,46,44,0.838,0.000,0.000,0.000,0.000,6.338,2.461,1.365,0.604,1.295,19.000,40.000,0.575,498.9,60.5,85.5,0.0,0.0,0.0,0.0,438,0,3.1,0.2,0.0,0.4,0.8,47.7,40.6,27.7,23.1,22.1,20.8,18.3,20.8,33.7,56.4,63.2,66.2,1064.3,10.67,15,15,15,35,374,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1830,1537,31,99.0,No,No,2322,1519,1.1,0.8,1.9,0.119,0.382,53565,46263,10.420,14.253,37.1,0.0,60,6618,289,0.701,0.348,0,
10.2.2021,14:16:35.815,12343,9873,55.5,8370,3606,69.8,7.4,0.720,0.712,0.720,0.715,0.663,0.701,1097.3,1097.3,1097.3,1097.3,99.8,897.8,99.8,524.5,471.6,250.0,278.6,199.7,156.7,220.4,184.4,285.7,37.3,31.3,16.4,20.1,9.7,11.1,14.9,14.1,37.3,19.4,100.0,11.0,11.0,11.0,11.0,9.0,46,45,43,42,54,55,57,58,46,46,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,47,47,45,0.838,0.000,0.000,0.000,0.000,5.869,2.259,1.224,0.496,1.268,19.000,40.000,0.589,498.8,52.1,81.8,0.0,0.0,0.0,0.0,438,0,3.9,0.3,0.1,0.4,0.8,44.3,39.5,21.9,22.9,17.2,13.7,19.3,16.0,37.5,60.7,72.5,68.6,1064.1,10.67,15,15,15,35,374,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1830,1537,32,99.0,No,No,2322,1519,1.9,0.7,2.6,0.124,0.267,53565,46263,10.420,14.241,37.0,0.0,60,6618,289,0.662,0.801,0,
10.2.2021,14:16:37.882,12330,9886,55.4,8354,3622,69.7,7.4,0.717,0.712,0.720,0.715,0.663,0.703,1097.6,1097.6,1097.6,1097.6,99.8,898.0,99.8,585.3,478.9,233.8,229.6,201.7,181.5,176.1,178.5,283.2,37.1,26.5,17.4,16.6,11.3,10.6,12.8,8.3,37.1,17.6,100.0,11.0,11.0,11.0,11.0,9.0,46,45,44,42,54,55,56,58,46,46,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,46,46,44,0.838,0.000,0.000,0.000,0.000,5.848,2.253,1.283,0.512,1.252,19.000,40.000,0.514,498.9,51.8,84.3,0.0,0.0,0.0,0.0,438,0,2.6,0.1,0.2,0.3,0.6,48.5,39.3,20.1,19.0,17.5,15.4,15.2,15.5,33.4,62.6,69.8,70.5,1197.4,12.00,17,17,17,39,420,2,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1830,1537,31,99.0,No,No,2322,1519,0.8,0.0,0.8,0.007,0.031,53565,46263,10.420,14.230,37.0,0.0,60,6618,289,0.907,0.847,0,
10.2.2021,14:16:39.957,12307,9909,55.3,8333,3643,69.5,7.4,0.717,0.712,0.720,0.715,0.661,0.701,1097.6,1097.6,1097.6,1097.6,99.8,898.0,99.8,500.4,431.0,340.1,234.2,200.1,194.8,194.9,183.7,284.9,34.5,28.5,25.5,20.3,16.5,12.7,12.7,12.0,34.5,20.3,100.0,11.0,11.0,11.0,11.0,9.0,46,44,44,42,54,56,56,58,46,46,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,47,47,44,0.838,0.000,0.000,0.000,0.000,5.843,2.227,1.263,0.517,1.242,19.000,40.000,0.560,498.9,58.4,82.6,0.0,0.0,0.0,0.0,438,0,4.0,0.3,0.1,0.4,1.2,42.3,36.1,28.0,19.8,17.4,16.7,17.1,15.9,40.9,58.5,69.7,71.5,1330.4,13.33,19,19,19,43,467,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1830,1537,31,99.0,No,No,2322,1519,1.0,0.5,1.5,0.073,0.050,53566,46263,10.411,14.207,37.0,0.0,60,6618,289,2.661,0.378,0,
10.2.2021,14:16:42.018,12305,9911,55.3,8331,3645,69.5,7.4,0.870,0.722,0.667,0.777,0.701,0.913,1895.8,1197.4,598.7,1496.7,99.8,1197.4,99.8,517.9,457.9,240.1,181.9,188.3,144.6,171.0,215.1,264.6,42.4,32.5,13.6,9.0,12.8,9.0,11.3,17.4,42.4,18.5,100.0,19.0,12.0,6.0,15.0,12.0,46,45,44,45,54,55,56,55,46,46,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48,48,44,0.838,0.000,0.000,0.000,0.000,5.734,2.231,1.216,0.445,1.251,19.000,40.000,0.562,498.9,50.6,70.6,0.0,0.0,0.0,0.0,438,0,6.1,0.2,0.1,0.5,1.3,44.3,38.9,21.7,16.5,17.0,13.1,15.3,18.9,36.8,64.6,72.3,68.0,1064.3,10.67,15,15,15,35,374,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1830,1537,32,99.0,No,No,2322,1519,0.9,2.3,3.2,0.109,0.153,53566,46264,10.425,14.195,36.9,0.0,60,6618,289,0.548,0.506,0,
10.2.2021,14:16:44.087,12304,9912,55.3,8331,3645,69.5,7.4,0.717,0.712,0.720,0.715,0.661,0.741,1097.6,1097.6,1097.6,1097.6,99.8,898.0,99.8,569.4,476.6,258.6,200.9,183.4,209.8,174.9,187.6,282.7,34.3,35.8,17.5,17.5,15.2,13.7,13.7,13.7,35.8,20.2,100.0,11.0,11.0,11.0,11.0,9.0,45,44,42,41,55,56,58,59,45,45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,46,46,43,0.000,0.000,0.000,0.000,0.000,5.769,2.215,1.318,0.432,1.247,19.000,40.000,0.520,0.0,56.5,84.6,0.0,0.0,0.0,0.0,438,0,3.7,0.3,0.0,0.3,1.3,46.8,39.0,22.0,17.5,16.1,17.9,15.1,16.2,35.4,64.7,69.0,71.3,1330.4,13.33,19,19,19,43,467,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,35,100.0,No,No,1830,1537,31,99.0,No,No,2322,1519,0.2,0.6,0.8,0.063,0.027,53566,46264,10.356,14.183,36.9,0.0,60,6618,289,0.059,0.000,0,
10.2.2021,14:16:46.148,12303,9913,55.3,8331,3645,69.5,7.4,0.720,0.712,0.720,0.715,0.661,0.701,1097.6,1097.6,1097.6,1097.6,99.8,898.0,99.8,498.6,441.4,264.8,196.3,232.7,192.5,186.3,188.1,275.1,37.5,31.5,18.7,13.5,15.0,13.5,12.0,11.2,37.5,19.1,100.0,11.0,11.0,11.0,11.0,9.0,45,44,44,41,55,56,56,59,45,45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,46,46,44,0.000,0.000,0.000,0.000,0.000,5.595,2.086,1.220,0.496,1.232,19.000,40.000,0.530,0.0,53.5,80.7,0.0,0.0,0.0,0.0,438,0,5.3,0.5,0.1,0.5,2.0,43.0,37.7,23.4,17.5,20.9,17.3,16.7,16.9,40.4,66.2,68.3,72.2,1330.4,13.33,19,19,19,43,467,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,39,100.0,No,No,1830,1537,31,99.0,No,No,2322,1519,1.1,1.2,2.2,0.071,0.280,53566,46264,10.455,14.160,36.8,0.0,60,6618,289,0.620,0.238,0,
10.2.2021,14:16:48.201,12302,9914,55.3,8329,3647,69.5,7.4,0.717,0.712,0.720,0.715,0.661,0.703,1097.6,1097.6,1097.6,1097.6,99.8,898.0,99.8,553.1,484.9,302.9,227.2,207.2,145.8,175.8,226.7,290.4,35.1,35.8,22.9,18.3,13.7,9.1,10.6,16.7,35.8,20.3,100.0,11.0,11.0,11.0,11.0,9.0,45,44,44,42,55,56,56,58,45,45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,47,47,44,0.000,0.000,0.000,0.000,0.000,5.828,2.250,1.276,0.503,1.248,19.000,40.000,0.513,0.0,53.8,83.0,0.0,0.0,0.0,0.0,438,0,3.3,0.2,0.1,0.3,0.9,47.1,41.2,24.7,18.4,17.9,12.6,15.1,19.0,34.4,60.7,70.4,67.6,1064.3,10.67,15,15,15,35,374,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,39,100.0,No,No,1830,1537,30,99.0,No,No,2322,1519,0.9,0.2,1.1,0.013,0.009,53566,46264,10.399,14.149,36.8,0.0,60,6618,289,0.697,0.425,0,
10.2.2021,14:16:50.258,12305,9911,55.3,8332,3644,69.5,7.4,0.727,0.882,0.717,0.932,0.713,0.741,1197.4,1995.6,1097.6,2294.9,99.8,1297.1,99.8,529.2,504.0,264.0,234.1,308.2,174.7,221.6,215.4,306.4,41.6,37.1,15.9,15.1,21.9,12.8,15.1,16.6,41.6,22.0,100.0,12.0,20.0,11.0,23.0,13.0,48,47,45,47,52,53,55,53,48,48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,50,44,0.000,0.000,0.000,0.000,0.000,6.101,2.367,1.315,0.520,1.261,19.000,40.000,0.602,0.0,58.2,86.0,0.0,0.0,0.0,0.0,441,0,4.1,0.4,0.2,0.1,0.8,43.3,39.5,22.8,20.3,25.4,15.0,19.3,18.5,38.5,64.6,65.0,68.0,1330.4,13.33,19,19,19,43,467,1,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,39,100.0,No,No,1830,1537,31,99.0,No,No,2322,1519,1.3,0.6,1.9,0.139,0.041,53566,46264,10.361,14.137,36.8,0.0,60,6618,289,1.281,0.528,0,
